time,speed_ms,dir_from_deg,u,v
2019-05-07 23:24:00,5.6,107.0,-5.355306633392998,1.6372815464473256
2019-05-07 23:30:00,6.3,114.0,-5.755336383148387,2.5624408513775383
2019-05-07 23:36:00,5.7,105.0,-5.5057772098476905,1.4752685570843658
2019-05-07 23:42:00,6.6,99.0,-6.518743047927909,1.0324674692655225
2019-05-07 23:48:00,6.5,100.0,-6.401250394579353,1.1287131548350449
2019-05-07 23:54:00,5.9,97.0,-5.8560222946838,0.7190291260903714
2019-05-08 00:00:00,5.5,89.0,-5.499162323360152,-0.09598823540505924
2019-05-08 00:06:00,5.7,88.0,-5.696527714008846,-0.19892713120425434
2019-05-08 00:12:00,6.0,85.0,-5.977168188550474,-0.5229344564859495
2019-05-08 00:18:00,5.4,89.0,-5.399177553844513,-0.0942429947613309
2019-05-08 00:24:00,5.8,90.0,-5.8,-1.0654427152581972e-15
2019-05-08 00:30:00,5.9,88.0,-5.896405879412665,-0.2059070305447545
2019-05-08 00:36:00,6.7,81.0,-6.617511881987422,-1.048110915769548
2019-05-08 00:42:00,6.3,74.0,-6.055948684411409,-1.7365153416470929
2019-05-08 00:48:00,7.1,73.0,-6.789763767337551,-2.0758391035314334
2019-05-08 00:54:00,5.8,86.0,-5.78587149150698,-0.40458754771592836
2019-05-08 01:00:00,6.2,97.0,-6.153786140176196,0.7555899291119157
2019-05-08 01:06:00,5.5,97.0,-5.459003834027271,0.6702813887283122
2019-05-08 01:12:00,7.8,109.0,-7.3750448896746725,2.539431604765819
2019-05-08 01:18:00,7.0,119.0,-6.122337949975769,3.393667341724361
2019-05-08 01:24:00,7.2,129.0,-5.59545092249019,4.5311068155588305
2019-05-08 01:30:00,7.3,125.0,-5.97980992330964,4.187107985362636
2019-05-08 01:36:00,8.4,121.0,-7.200205325897744,4.326319829244455
2019-05-08 01:42:00,7.3,118.0,-6.4455174278701675,3.427142408337
2019-05-08 01:48:00,7.8,128.0,-6.14648387813243,4.802159507540137
2019-05-08 01:54:00,7.0,113.0,-6.443533974167083,2.7351178994249143
2019-05-08 02:00:00,8.5,118.0,-7.505054539300881,3.9905082836800685
2019-05-08 02:06:00,7.2,85.0,-7.172601826260568,-0.6275213477831394
