time,speed_ms,dir_to_deg,u,v
2019-05-07 23:25:00,0.537,140,0.34517694640167174,-0.41136586595489116
2019-05-07 23:31:00,0.22399999999999998,131,0.16905494596990095,-0.14695722249387358
2019-05-07 23:37:00,0.408,120,0.35333836474405095,-0.2039999999999999
2019-05-07 23:43:00,0.515,132,0.382719585120858,-0.344602262274812
2019-05-07 23:49:00,0.418,126,0.33816910364872804,-0.24569423545825372
2019-05-07 23:55:00,0.45799999999999996,129,0.3559328503472927,-0.28822873910082547
2019-05-08 00:01:00,0.444,128,0.34987677460138455,-0.2733536950445923
2019-05-08 00:07:00,0.406,127,0.32424601707920087,-0.24433689939973166
2019-05-08 00:13:00,0.43799999999999994,128,0.3451487100797442,-0.2696597261926383
2019-05-08 00:19:00,0.48200000000000004,133,0.35251248418044023,-0.32872320955012424
2019-05-08 00:25:00,0.43200000000000005,128,0.340420645558104,-0.2659657573406844
2019-05-08 00:31:00,0.48100000000000004,127,0.3841436803327478,-0.2894730261361353
2019-05-08 00:37:00,0.47100000000000003,128,0.3711530649487661,-0.2899765548783851
2019-05-08 00:43:00,0.446,123,0.3740470733036591,-0.2429090096167021
2019-05-08 00:49:00,0.52,131,0.3924489817158415,-0.34115069507506374
2019-05-08 00:55:00,0.491,133,0.35909466749501273,-0.3348611947906867
2019-05-08 01:01:00,0.45399999999999996,131,0.3426381494211385,-0.2978507991616902
2019-05-08 01:07:00,0.494,130,0.37842595490077513,-0.31753707918515045
2019-05-08 01:13:00,0.46399999999999997,130,0.35544462160720575,-0.29825345089455424
2019-05-08 01:19:00,0.4,127,0.3194542040189171,-0.24072600926081936
2019-05-08 01:25:00,0.498,133,0.36421414340634695,-0.3396351833111242
2019-05-08 01:31:00,0.436,125,0.35715029131000037,-0.2500793262490561
2019-05-08 01:37:00,0.382,124,0.31669235271602597,-0.21361168912582523
2019-05-08 01:49:00,0.355,127,0.2835156060667889,-0.21364433321897716
2019-05-08 01:55:00,0.294,120,0.25461146871262497,-0.14699999999999994
2019-05-08 02:01:00,0.447,135,0.31607673119038676,-0.3160767311903867
2019-05-08 02:07:00,0.402,134,0.28917459973613774,-0.27925266492451695
2019-05-08 02:13:00,0.37799999999999995,132,0.28090874403045496,-0.2529313692036484
2019-05-08 02:19:00,0.40299999999999997,131,0.30414796082977713,-0.26439178868317437
2019-05-08 02:25:00,0.39399999999999996,128,0.3104762369210484,-0.24257062127830933
2019-05-08 02:31:00,0.531,139,0.3483673443939594,-0.400750787098292
2019-05-08 02:37:00,0.40399999999999997,134,0.290613279336815,-0.2806419816654349
2019-05-08 02:43:00,0.498,130,0.38149013267325105,-0.3201082296238966
2019-05-08 02:49:00,0.441,128,0.3475127423405644,-0.2715067106186153
2019-05-08 02:55:00,0.462,127,0.3689696056418493,-0.27803854069624634
2019-05-08 03:01:00,0.496,131,0.37433595179049495,-0.32540527837929156
2019-05-08 03:07:00,0.516,131,0.3894301433949504,-0.3385264589591017
2019-05-08 03:13:00,0.51,130,0.3906826659906788,-0.3278216809401351
2019-05-08 03:19:00,0.47200000000000003,128,0.37194107570237284,-0.29059221635371074
2019-05-08 03:25:00,0.43700000000000006,126,0.3535404265418521,-0.2568621552518107
2019-05-08 03:31:00,0.684,128,0.538999355466998,-0.4211124491227503
2019-05-08 03:37:00,0.611,131,0.4611275535161138,-0.4008520667131999
2019-05-08 03:43:00,0.518,128,0.408189570368282,-0.31891264421869103
2019-05-08 03:49:00,0.513,128,0.4042495166002484,-0.3158343368420627
2019-05-08 03:55:00,0.48100000000000004,124,0.39876707239897513,-0.26897178656942916
2019-05-08 04:01:00,0.456,124,0.37804113308509907,-0.2549919639826605
