MMSI,name,imo,callsign,vessel_type,length_m,width_m,n_fixes,t_first,t_last,sog_max,sog_mean,type_label
367036000,PACIFIC RELIANCE,IMO9386548,WDI7757,31.0,41.0,12.0,1481,2019-05-09 21:02:41,2019-05-12 23:19:50,13.3,1.4605671843349088,tug/towing
367036840,HERCULES,,WDC5161,25.0,33.0,8.0,3387,2019-05-08 23:20:43,2019-05-12 23:18:29,12.7,0.5986713906111604,code 25
367049580,FINESSE,,WDC5990,37.0,12.0,4.0,191,2019-05-08 23:20:51,2019-05-10 13:48:25,0.6,0.031413612565445025,sailing/pleasure
367051340,BILL SPENCE,,WAN6438,31.0,18.0,8.0,3591,2019-05-08 23:20:33,2019-05-12 23:18:52,10.3,1.0338345864661653,tug/towing
367053160,COLONEL,,WCU3258,60.0,38.0,11.0,1865,2019-05-08 23:21:07,2019-05-12 23:18:56,8.9,0.24058981233243967,passenger
367053940,CAPT BILLY J VERDIN,IMO9370056,WDC6278,31.0,22.0,8.0,3668,2019-05-08 23:20:32,2019-05-12 23:19:08,8.4,0.20793347873500548,tug/towing
367054790,COLT,,WDC6330,31.0,20.0,7.0,3545,2019-05-08 23:21:02,2019-05-12 23:18:32,8.3,0.8886036671368124,tug/towing
367057260,MARTIN J PELLEGRIN,IMO8891481,WDC6505,31.0,18.0,7.0,3732,2019-05-08 23:20:34,2019-05-12 23:19:55,9.3,0.8801982851018221,tug/towing
367057310,MISS BOBBIE FUGIT,,WDC6509,31.0,25.0,9.0,3321,2019-05-08 23:20:40,2019-05-12 16:57:01,9.7,0.9303824149352605,tug/towing
367057380,DEL WILKINS,,WDC6516,31.0,18.0,8.0,3642,2019-05-08 23:20:17,2019-05-12 23:19:58,7.4,0.07309170785282812,tug/towing
367057420,JACK ODOM,,WDC6519,31.0,31.0,10.0,3679,2019-05-08 23:20:41,2019-05-12 23:18:32,8.2,0.22650176678445227,tug/towing
367057740,NOVA H LOUIS,,WDC6546,31.0,23.0,9.0,1028,2019-05-08 23:20:52,2019-05-10 02:04:32,7.2,2.871206225680934,tug/towing
367057760,JOHN FOX,,WDC6548,31.0,24.0,9.0,976,2019-05-08 23:21:17,2019-05-10 00:30:08,7.2,3.700922131147541,tug/towing
367057830,BURNS JOHNSON JR.,,WDC6554,31.0,18.0,8.0,3575,2019-05-08 23:22:11,2019-05-12 23:18:31,7.4,0.4698181818181818,tug/towing
367057930,ANITA EVE SHARP,,WDC6563,31.0,23.0,9.0,2735,2019-05-10 00:15:39,2019-05-12 23:18:48,7.1,1.0242778793418648,tug/towing
367059330,REDEEMER,,WDC6664,31.0,22.0,10.0,945,2019-05-11 21:09:58,2019-05-12 23:19:27,9.5,3.422010582010582,tug/towing
367061190,DRUM POINT,IMO8998942,WDC6779,31.0,21.0,9.0,1854,2019-05-08 23:22:32,2019-05-12 23:18:38,10.2,0.4749190938511327,tug/towing
367061960,(no name broadcast),,,,,,2173,2019-05-08 23:21:32,2019-05-12 23:18:35,8.4,1.7612057063966866,unknown
367075320,MACY LYNN,,WDC7693,31.0,18.0,7.0,865,2019-05-09 01:21:42,2019-05-10 00:37:43,7.6,2.979421965317919,tug/towing
367082880,RICHARDSON V,,WDJ2056,31.0,18.0,8.0,3570,2019-05-08 23:21:39,2019-05-12 23:18:59,8.2,0.8515406162464986,tug/towing
367085240,EVELYN M,IMO9022491,WAR2197,60.0,39.0,7.0,1090,2019-05-09 19:58:16,2019-05-11 12:34:56,16.3,0.421651376146789,passenger
367086720,CAPT PETER II,IMO7641621,WDI5832,30.0,21.0,6.0,825,2019-05-11 02:43:08,2019-05-12 23:19:47,8.4,2.2275151515151514,fishing
367087310,(no name broadcast),,,,,,849,2019-05-08 23:20:46,2019-05-12 23:19:34,10.8,1.511896348645465,unknown
367090420,CAPT DAVE GUIDRY,,WDC8627,31.0,17.0,6.0,1066,2019-05-11 17:45:57,2019-05-12 23:18:20,6.5,2.565853658536585,tug/towing
367095660,STACY SHELBY,,WDC8962,31.0,22.0,7.0,3691,2019-05-08 23:20:14,2019-05-12 23:18:38,8.9,0.6342725548631807,tug/towing
367096290,KRISTY DUTSCH,,WDC9005,31.0,26.0,9.0,66,2019-05-08 23:21:28,2019-05-09 01:09:37,7.6,6.374242424242424,tug/towing
367098660,CAPT CALVIN DEVALL,,WDC9186,31.0,19.0,7.0,2268,2019-05-08 23:22:10,2019-05-12 23:18:08,8.0,2.1730599647266313,tug/towing
367107680,EXCALIBUR,,WDC9865,60.0,30.0,7.0,2363,2019-05-09 00:00:12,2019-05-12 23:19:14,21.4,3.821794329242488,passenger
367110450,SEAOPS 1,,WDJ3022,90.0,28.0,7.0,3663,2019-05-08 23:20:26,2019-05-12 23:19:50,10.0,0.356019656019656,other
367112240,VAN LANG,IMO0000000,WDD2200,30.0,29.0,8.0,1730,2019-05-08 23:20:08,2019-05-12 23:18:40,10.1,1.2409248554913297,fishing
367114050,GEORGE W BANTA,IMO5129095,WDD2343,31.0,28.0,9.0,1584,2019-05-08 23:21:06,2019-05-10 15:30:26,7.2,2.073169191919192,tug/towing
367118980,CAPT J A MORGAN,,WDD2725,31.0,22.0,9.0,3651,2019-05-08 23:21:20,2019-05-12 23:19:50,6.8,0.26203779786359904,tug/towing
367119810,ROBERT C LANIER,IMO8643224,WAT3621,60.0,72.0,19.0,2470,2019-05-08 23:21:24,2019-05-12 23:19:07,12.4,2.196194331983806,passenger
367123430,AMANDA LUU,IMO8885365,WCW7879,30.0,23.0,6.0,102,2019-05-09 18:32:32,2019-05-11 16:35:19,0.1,0.0029411764705882357,fishing
367125100,CAPT TOM ECHOLS SR,,WDC3771,31.0,20.0,7.0,3351,2019-05-08 23:20:15,2019-05-12 23:19:16,10.6,3.3695016413011043,tug/towing
367126410,AVE MARIA,,WDD5063,31.0,22.0,10.0,3577,2019-05-08 23:20:01,2019-05-12 23:19:37,8.8,0.49874196253844005,tug/towing
367127110,CHERYL K,,WDD3191,31.0,15.0,6.0,3588,2019-05-08 23:20:55,2019-05-12 23:18:05,10.4,1.863823857302118,tug/towing
367131150,DIANE,,WDF2440,31.0,23.0,8.0,2899,2019-05-08 23:21:09,2019-05-12 03:10:01,10.7,1.214108313211452,tug/towing
367136040,NEW BUCCANEER,,WYU8674,60.0,23.0,9.0,1021,2019-05-08 23:21:07,2019-05-12 21:29:52,39.6,1.1219392752203723,passenger
367136680,ST LOUIS EXPRESS,IMO9243186,WDD3825,70.0,243.0,32.0,556,2019-05-08 23:20:48,2019-05-10 00:30:32,18.2,3.4368705035971225,cargo
367138470,MIA KELLEY,,WDD3950,31.0,26.0,9.0,600,2019-05-11 20:11:35,2019-05-12 23:18:28,9.8,2.030666666666667,tug/towing
367139280,TME MERCURY,,WDJ3285,60.0,9.0,3.0,1755,2019-05-08 23:21:15,2019-05-12 23:18:39,8.9,0.025754985754985756,passenger
367145380,MATTHEW JAMES,,WDD4491,31.0,21.0,8.0,2306,2019-05-10 10:57:47,2019-05-12 23:18:58,8.8,0.940589765828274,tug/towing
367145440,KATIE GONSOULIN,,WDD4496,31.0,21.0,9.0,1313,2019-05-11 09:53:59,2019-05-12 23:19:33,9.7,1.2357197258187358,tug/towing
367146170,KATHY SWANGO,,WDD4550,31.0,18.0,7.0,1594,2019-05-11 03:03:39,2019-05-12 23:17:34,8.4,1.2717691342534505,tug/towing
367147190,JACKIE S,,WDD4623,31.0,,,309,2019-05-09 14:41:18,2019-05-09 22:01:22,7.2,0.6504854368932039,tug/towing
367151450,RAY STOKER; JR,IMO9158719,WDJ3395,60.0,80.0,19.0,3083,2019-05-08 23:20:46,2019-05-12 23:19:20,14.4,3.191631527732728,passenger
367155310,BOLIVAR POINT,,WDD5224,31.0,21.0,9.0,1784,2019-05-08 23:22:17,2019-05-12 23:18:49,7.9,0.09747757847533632,tug/towing
367156350,MISS KIMBERLY II,IMO8941080,WCX3138,30.0,24.0,7.0,899,2019-05-08 23:24:01,2019-05-12 22:39:53,7.4,3.0374860956618464,fishing
367156850,MARTHA T,IMO8301101,WDD5337,31.0,29.0,8.0,3668,2019-05-08 23:20:36,2019-05-12 23:19:31,10.0,0.7683206106870228,tug/towing
367157150,RMS CITATION,IMO8033584,WDG5250,90.0,50.0,12.0,1747,2019-05-08 23:22:31,2019-05-12 23:19:41,0.1,0.0013165426445334862,other
367160030,KING ARTHUR,,WDD5554,60.0,30.0,7.0,2650,2019-05-09 09:13:14,2019-05-12 23:18:11,18.6,3.231698113207547,passenger
367162840,RON HULL,,WDD5737,31.0,26.0,9.0,381,2019-05-09 09:26:48,2019-05-09 19:11:56,8.8,6.569028871391077,tug/towing
367162940,SAN JACINTO,,WDD5743,31.0,16.0,7.0,3694,2019-05-08 23:20:37,2019-05-12 23:19:46,8.0,0.5827016783974012,tug/towing
367163580,GOLDEN STAR II,IMO8941119,WCX3419,30.0,25.0,7.0,2317,2019-05-08 23:21:17,2019-05-12 23:18:33,9.1,2.7397928355632284,fishing
